Number,Messier,NGC,Name,Type,SubType,Season,Magnitude,Const,ConstEnglish,Constellation,RA,Dec,Distance,Size,Discoverer,Year,Captured,CapYear,Remarks
31,M31,NGC 224,Andromeda Galaxy,Galaxy,Spiral galaxy,Autumn,3.4,And,Andromeda,Andromeda,00:42:44.35,+41:16:08.6,"2,000",3.167° × 1°,,,1,2023,NULL
32,M32,NGC 221,Andromeda Satellite #1,Galaxy,Dwarf elliptical galaxy,Autumn,8.1,And,Andromeda,Andromeda,00:42:41.83,+40:51:55.0,"2,000",8.7' × 6.5',Le Gentil,1749,0,NULL,NULL
33,M33,NGC 598,Triangulum/Pinwheel Galaxy,Galaxy,Spiral galaxy,Autumn,5.7,Tri,Triangle,Triangulum,01:33:50.89,+30:39:36.8,"2,000",70.8' x 41.7',Messier,1764,0,NULL,NULL
34,M34,NGC 1039,Spiral Cluster,Cluster,Open cluster,Autumn,5.5,Per,Perseus,Perseus,02:42:07.40,+42:44:46.1,"1,500",35',Messier,1764,0,NULL,NULL
35,M35,NGC 2168,Shoe-Buckle Cluster,Cluster,Open cluster,Winter,5.3,Gem,Twins,Gemini,06:09:05.06,+24:20:19.1,"2,800",28',Chéseaux,1746,0,NULL,NULL
36,M36,NGC 1960,Pinwheel Cluster,Cluster,Open cluster,Winter,6.3,Aur,Charioteer,Auriga,05:36:17.74,+34:08:26.7,"4,100",12',Hodierna,1654,0,NULL,NULL
37,M37,NGC 2099,Salt and Pepper Cluster,Cluster,Open cluster,Winter,6.2,Aur,Charioteer,Auriga,05:52:18.35,+32:33:10.8,"4,511",24',Hodierna,1654,0,NULL,NULL
38,M38,NGC 1912,Starfish Cluster,Cluster,Open cluster,Winter,7.4,Aur,Charioteer,Auriga,05:28:42.49,+35:51:17.7,"4,200",21',Hodierna,1654,0,NULL,NULL
39,M39,NGC 7092,–,Cluster,Open cluster,Autumn,4.6,Cyg,Swan,Cygnus,21:31:48.32,+48:26:17.4,824,29',Le Gentil,1750,0,NULL,NULL
40,M40,,Winnecke 4,Cluster,Double star,Spring,8.4,Sgr,Archer,Sagittarius,,,510,51.7″,Hevelius,1660,0,NULL,NULL
41,M41,NGC 2287,Little Beehive Cluster,Cluster,Open cluster,Winter,4.5,CMa,Great Dog,Canis Major,06:45:59.94,-20:45:15.2,"2,300",38',Hodierna,1654,0,NULL,NULL
42,M42,NGC 9176,Great Orion Nebula,Nebula,Emission Nebula,Winter,4,Ori,"Orion, Hunter",Orion,05:35:16.48,-05:23:22.8,"1,340",65' x 60',Peiresc,1610,1,2023,NULL
43,M43,NGC 1982,De Mairan's Nebula,Nebula,Reflection Nebula,Winter,9,Ori,"Orion, Hunter",Orion,05:35:31.38,-05:16:02.9,"1,600",20' x 15',Mairan,1750,0,NULL,NULL
44,M44,NGC 2632,Beehive Cluster or Praesepe,Cluster,Open cluster,Spring,3.7,Cnc,Crab,Cancer,08:40:22.20,+19:40:19.4,577,95',,,0,NULL,NULL
45,M45,,"Pleiades,  Seven Sisters or Subaru",Cluster,Open cluster,Winter,1.6,,,Taurus,,,425,2°,,,1,2024,NULL
46,M46,NGC 2437,–,Cluster,Open cluster,Winter,6,Pup,"Stern,Poop deck",Puppis,07:41:46.82,-14:48:36.0,"5,400",22.8',Messier,1771,0,NULL,NULL
47,M47,NGC 2422,–,Cluster,Open cluster,Winter,4.4,Pup,"Stern,Poop deck",Puppis,07:36:35.02,-14:28:57.4,"1,600",30',Hodierna,1654,0,NULL,NULL
48,M48,NGC 2548,–,Cluster,Open cluster,Winter,5.5,Hya,"Hydra, Sea Snake",Hydra,08:13:43.18,-05:45:01.6,"1,500",30',Messier,1771,0,NULL,NULL
49,M49,NGC 4472,–,Galaxy,Elliptical galaxy,Spring,8.4,Vir,Virgin,Virgo,12:29:46.76,+08:00:01.7,"53,000",10.2' × 8.3',Messier,1771,0,NULL,NULL
50,M50,NGC 2323,Heart-Shaped Cluster,Cluster,Open cluster,Winter,5.9,Mon,Unicorn,Monoceros,07:02:40.47,-08:21:50.5,"3,200",16',Cassini,1710,0,NULL,NULL
51,M51,NGC 5194,Whirlpool Galaxy,Galaxy,Spiral galaxy,Spring,8.4,CVn,Hound Dogs,Canes Venatici,13:29:52.71,+47:11:42.6,"19,000",11.2′ × 6.9′,Messier,1773,1,2023,NULL
52,M52,NGC 7654,Scorpion Cluster,Cluster,Open cluster,Autumn,7.3,Cas,Cassiopeia,Cassiopeia,23:24:48.40,+61:35:35.4,"5,000",13',Messier,1774,0,NULL,NULL
53,M53,NGC 5024,–,Cluster,Globular cluster,Spring,7.6,Com,Hair of Berenice,Coma Berenices,13:12:55.23,+18:10:08.8,"58,000",13',Bode,1775,0,NULL,NULL
54,M54,NGC 6715,–,Cluster,Globular cluster,Summer,7.6,Sgr,Archer,Sagittarius,18:55:03.27,-30:28:42.6,"87,400",12',Messier,1778,0,NULL,NULL
55,M55,NGC 6809,Specter Cluster,Cluster,Globular cluster,Summer,6.3,Sgr,Archer,Sagittarius,19:39:59.40,-30:57:43.5,"17,600",19',Lacaille,1751,0,NULL,NULL
